device_name,description,description_vi
light.side_hallway_hue,Side Hallway Hue,Hành lang bên hue
light.garage_osram,Garage Osram,Nhà để xe Osram
light.basement_workshop_mqtt,Basement Workshop Light,Tầng hầm Hội thảo ánh sáng
light.upstairs_children_bedroom_zigbee,Upstairs Children's Bedroom Light,Đèn phòng ngủ trẻ em trên lầu
light.downstairs_master_bedroom_homekit,Downstairs Master Bedroom Light,Đèn phòng ngủ chính ở tầng dưới
light.front_living_room_ge,Front Living Room Light,Đèn phòng khách phía trước
light.back_bedroom_warm,Back Bedroom Warm Light,Phòng ngủ sau ánh sáng ấm áp
light.kitchen_island_cool,Kitchen Island Cool Light,Đảo bếp ánh sáng mát mẻ
light.upstairs_hallway_zwave,Upstairs Hallway Light,Ánh sáng hành lang trên lầu
light.downstairs_bathroom_warm,Downstairs Bathroom Warm Light,Phòng tắm ở tầng dưới ánh sáng ấm áp
light.front_yard_osram,Front Yard Osram,Sân trước Osram
light.back_yard_zwave,Back Yard Light,Đèn sân sau
light.upstairs_guest_bedroom_zigbee,Upstairs Guest Bedroom Light,Đèn phòng ngủ của khách trên lầu
light.downstairs_office_mqtt,Downstairs Office Light,Đèn văn phòng ở tầng dưới
light.front_bedroom_homekit,Front Bedroom Light,Đèn phòng ngủ phía trước
light.back_office_lifx,Back Office Light,Back Office Light
light.kitchen_table_warm,Kitchen Table Warm Light,Bàn bếp ấm áp
light.upstairs_tv_room_zigbee,Upstairs TV Room Light,Đèn phòng TV trên lầu
light.downstairs_tv_room_homekit,Downstairs TV Room Light,Đèn phòng TV ở tầng dưới
light.front_tv_room_ge,Front TV Room Light,Đèn phòng TV phía trước
light.back_tv_room_warm,Back TV Room Warm Light,Phòng TV trở lại ánh sáng ấm áp
light.kitchen_sink_cool,Kitchen Sink Cool Light,Bồn rửa nhà bếp ánh sáng mát mẻ
light.upstairs_pantry_zwave,Upstairs Pantry Light,Tầng trên đèn phòng đựng thức ăn
light.downstairs_pantry_mqtt,Downstairs Pantry Light,Tầng dưới đèn phòng đựng thức ăn
light.front_pantry_homekit,Front Pantry Light,Đèn phòng đựng thức ăn phía trước
light.back_pantry_lifx,Back Pantry Light,Đèn phòng dự phòng trở lại
light.kitchen_cabinet_warm,Kitchen Cabinet Warm Light,Tủ bếp ấm áp
light.upstairs_corridor_zigbee,Upstairs Corridor Light,Trên lầu ánh sáng hành lang
light.downstairs_corridor_mqtt,Downstairs Corridor Light,Tầng dưới ánh sáng hành lang
light.front_corridor_homekit,Front Corridor Light,Ánh sáng hành lang phía trước
light.back_corridor_lifx,Back Corridor Light,Đèn hành lang trở lại
light.garage_workbench_cool,Garage Workbench Cool Light,Nhà để xe làm việc mát mẻ
light.upstairs_nursery_zwave,Upstairs Nursery Light,Ánh sáng nhà trẻ trên lầu
light.downstairs_nursery_mqtt,Downstairs Nursery Light,Đèn nhà trẻ ở tầng dưới
light.front_nursery_homekit,Front Nursery Light,Ánh sáng nhà trẻ phía trước
light.back_nursery_warm,Back Nursery Warm Light,Trở lại vườn ươm ánh sáng ấm áp
light.kitchen_ceiling_cool,Kitchen Ceiling Cool Light,Trần nhà bếp ánh sáng mát mẻ
light.upstairs_lounge_zigbee,Upstairs Lounge Light,Trên lầu phòng chờ ánh sáng
light.downstairs_lounge_homekit,Downstairs Lounge Light,Đèn phòng chờ ở tầng dưới
light.front_lounge_ge,Front Lounge Light,Đèn phòng chờ phía trước
light.back_lounge_warm,Back Lounge Warm Light,Back Lounge Ánh sáng ấm áp
light.basement_storage_cool,Basement Storage Cool Light,Tầng hầm lưu trữ ánh sáng mát mẻ
light.upstairs_closet_zwave,Upstairs Closet Light,Tầng trên tủ quần áo ánh sáng
light.downstairs_closet_mqtt,Downstairs Closet Light,Tầng dưới tủ quần áo ánh sáng
light.front_closet_homekit,Front Closet Light,Ánh sáng tủ quần áo phía trước
light.back_closet_warm,Back Closet Warm Light,Tủ quần áo trở lại ánh sáng ấm áp
light.upstairs_den_zigbee,Upstairs Den Light,Trên lầu den ánh sáng
light.downstairs_den_homekit,Downstairs Den Light,Ở tầng dưới den ánh sáng
light.front_den_ge,Front Den Light,Ánh sáng den phía trước
light.back_den_warm,Back Den Warm Light,Back Den Ánh sáng ấm áp
light.kitchen_window_cool,Kitchen Window Cool Light,Cửa sổ nhà bếp ánh sáng mát mẻ
light.upstairs_entryway_zwave,Upstairs Entryway Light,Trên lầu ánh sáng lối vào
light.downstairs_entryway_mqtt,Downstairs Entryway Light,Tầng dưới ánh sáng lối vào
light.front_entryway_homekit,Front Entryway Light,Ánh sáng phía trước ánh sáng
light.back_entryway_lifx,Back Entryway Light,Quay trở lại ánh sáng
light.kitchen_desk_warm,Kitchen Desk Warm Light,Bàn bếp ấm áp
light.upstairs_mudroom_zigbee,Upstairs Mudroom Light,Ánh sáng trên lầu bùn
light.downstairs_mudroom_homekit,Downstairs Mudroom Light,Tầng dưới ánh sáng bùn
light.front_mudroom_ge,Front Mudroom Light,Ánh sáng phòng bùn phía trước
light.back_mudroom_warm,Back Mudroom Warm Light,Bật lại phòng bùn ấm áp
light.kitchen_floor_cool,Kitchen Floor Cool Light,Sàn nhà bếp ánh sáng mát mẻ
light.upstairs_attic_zwave,Upstairs Attic Light,Ánh sáng trên tầng trên
light.downstairs_attic_mqtt,Downstairs Attic Light,Tầng dưới ánh sáng gác mái
light.front_attic_homekit,Front Attic Light,Ánh sáng phía trước ánh sáng
light.back_attic_lifx,Back Attic Light,Đèn gác mái trở lại
light.kitchen_drawer_warm,Kitchen Drawer Warm Light,Ngăn kéo nhà bếp ánh sáng ấm áp
light.upstairs_sunroom_zigbee,Upstairs Sunroom Light,Ánh sáng trên lầu
light.downstairs_sunroom_homekit,Downstairs Sunroom Light,Tầng dưới ánh sáng mặt trời ánh sáng
light.front_sunroom_ge,Front Sunroom Light,Ánh sáng phòng tắm nắng phía trước
light.back_sunroom_warm,Back Sunroom Warm Light,Back Sunroom Ánh sáng ấm áp
light.kitchen_rack_cool,Kitchen Rack Cool Light,Giá bếp mát
light.upstairs_study_zwave,Upstairs Study Light,Tầng trên ánh sáng học tập
light.downstairs_study_mqtt,Downstairs Study Light,Tầng dưới ánh sáng học tập
light.front_study_homekit,Front Study Light,Ánh sáng học tập phía trước
light.back_study_lifx,Back Study Light,LIÊN QUAN LIÊN QUAN
light.kitchen_bar_warm,Kitchen Bar Warm Light,Thanh bếp ấm
light.upstairs_dining_zigbee,Upstairs Dining Light,Ánh sáng ăn tối trên lầu
light.downstairs_dining_homekit,Downstairs Dining Light,Đèn ăn tối ở tầng dưới
light.front_dining_ge,Front Dining Light,Ánh sáng ăn uống phía trước
light.back_dining_warm,Back Dining Warm Light,Back Ăn tối ấm áp
light.kitchen_wall_cool,Kitchen Wall Cool Light,Bức tường nhà bếp ánh sáng mát mẻ
light.upstairs_fireplace_zwave,Upstairs Fireplace Light,Ánh sáng lò sưởi trên lầu
light.downstairs_fireplace_mqtt,Downstairs Fireplace Light,Đèn lò sưởi ở tầng dưới
light.front_fireplace_homekit,Front Fireplace Light,Ánh sáng lò sưởi phía trước
light.back_fireplace_lifx,Back Fireplace Light,Lắp lại lò sưởi ánh sáng
light.kitchen_bookshelf_warm,Kitchen Bookshelf Warm Light,Kệ sách nhà bếp ánh sáng ấm áp
light.upstairs_sideyard_zigbee,Upstairs Side Yard Light,Ánh sáng sân bên trên lầu
light.downstairs_sideyard_homekit,Downstairs Side Yard Light,Đèn sân khấu ở tầng dưới
light.front_sideyard_ge,Front Side Yard Light,Ánh sáng sân phía trước
light.back_sideyard_warm,Back Side Yard Warm Light,Sân sau ánh sáng ấm áp
light.kitchen_cupboard_cool,Kitchen Cupboard Cool Light,Tủ bếp mát mẻ
light.upstairs_cinema_zwave,Upstairs Cinema Light,Ánh sáng rạp chiếu phim trên lầu
light.downstairs_cinema_mqtt,Downstairs Cinema Light,Đèn chiếu phim ở tầng dưới
light.front_cinema_homekit,Front Cinema Light,Đèn chiếu phim phía trước
light.back_cinema_lifx,Back Cinema Light,Đèn chiếu phim trở lại
light.kitchen_oven_warm,Kitchen Oven Warm Light,Lò nướng bếp ấm
light.upstairs_mancave_zigbee,Upstairs Man Cave Light,Ánh sáng hang động người trên lầu
light.downstairs_mancave_homekit,Downstairs Man Cave Light,Tầng dưới đèn hang động.
light.front_mancave_ge,Front Man Cave Light,Đèn phía trước đèn hang
light.back_mancave_warm,Back Man Cave Warm Light,Back Man Cave Ánh sáng ấm áp
light.kitchen_shelf_cool,Kitchen Shelf Cool Light,Kệ nhà bếp ánh sáng mát mẻ
light.upstairs_balcony_zwave,Upstairs Balcony Light,Ánh sáng ban công trên lầu
light.downstairs_balcony_mqtt,Downstairs Balcony Light,Đèn ban công ở tầng dưới
light.front_balcony_homekit,Front Balcony Light,Ban công phía trước ánh sáng
light.back_balcony_lifx,Back Balcony Light,Ngược lại ánh sáng ban công
light.kitchen_cornice_warm,Kitchen Cornice Warm Light,Nhà bếp giác mạc ánh sáng ấm áp
light.upstairs_stairwell_zigbee,Upstairs Stairwell Light,Ánh sáng cầu thang trên lầu
light.downstairs_stairwell_homekit,Downstairs Stairwell Light,Tầng dưới cầu thang ánh sáng
light.front_stairwell_ge,Front Stairwell Light,Ánh sáng cầu thang phía trước
light.back_stairwell_warm,Back Stairwell Warm Light,Back Stairwell Ánh sáng ấm áp
light.kitchen_mirror_cool,Kitchen Mirror Cool Light,Gương bếp mát
light.upstairs_basement_zwave,Upstairs Basement Light,Ánh sáng tầng hầm trên lầu
light.downstairs_basement_mqtt,Downstairs Basement Light,Tầng dưới tầng hầm ánh sáng
light.front_basement_homekit,Front Basement Light,Ánh sáng tầng hầm phía trước
light.back_basement_lifx,Back Basement Light,Backement Light
light.kitchen_windowseat_warm,Kitchen Window Seat Warm Light,Ghế cửa sổ nhà bếp ánh sáng ấm áp
light.upstairs_recreation_zigbee,Upstairs Recreation Light,Ánh sáng giải trí trên lầu
light.downstairs_recreation_homekit,Downstairs Recreation Light,Đèn giải trí ở tầng dưới
light.front_recreation_ge,Front Recreation Light,Ánh sáng giải trí phía trước
light.back_recreation_warm,Back Recreation Warm Light,Trở lại giải trí ánh sáng ấm áp
light.kitchen_sideboard_cool,Kitchen Sideboard Cool Light,Phòng bếp phụ ánh sáng mát mẻ
light.upstairs_courtyard_zwave,Upstairs Courtyard Light,Ánh sáng sân trên lầu
light.downstairs_courtyard_mqtt,Downstairs Courtyard Light,Tầng dưới ánh sáng sân trong ánh sáng
light.front_courtyard_homekit,Front Courtyard Light,Ánh sáng sân trước
light.back_courtyard_lifx,Back Courtyard Light,Back Courtyard Light
light.kitchen_winecellar_warm,Kitchen Wine Cellar Warm Light,Đèn nhà bếp rượu vang ấm áp ánh sáng
light.upstairs_arcade_zigbee,Upstairs Arcade Light,Tầng trên ánh sáng arcade
light.downstairs_arcade_homekit,Downstairs Arcade Light,Tầng dưới ánh sáng arcade
light.front_arcade_ge,Front Arcade Light,Ánh sáng arcade phía trước
light.back_arcade_warm,Back Arcade Warm Light,Đèn ấm trở lại ánh sáng ấm áp
light.kitchen_pantry_cool,Kitchen Pantry Cool Light,Phòng đựng thức ăn nhà bếp ánh sáng mát mẻ
light.upstairs_washroom_zwave,Upstairs Washroom Light,Đèn phòng tắm trên lầu
light.downstairs_washroom_mqtt,Downstairs Washroom Light,Đèn phòng vệ sinh ở tầng dưới
light.front_washroom_homekit,Front Washroom Light,Ánh sáng phòng vệ sinh phía trước
light.back_washroom_lifx,Back Washroom Light,Đèn phòng vệ sinh trở lại
light.kitchen_fridge_warm,Kitchen Fridge Warm Light,Tủ lạnh nhà bếp ánh sáng ấm áp
light.upstairs_library_zigbee,Upstairs Library Light,Ánh sáng thư viện trên lầu
light.downstairs_library_homekit,Downstairs Library Light,Đèn thư viện ở tầng dưới
light.front_library_ge,Front Library Light,LIGHT LIÊN QUAN ĐẦU
light.back_library_warm,Back Library Warm Light,Thư viện trở lại ánh sáng ấm áp
light.kitchen_coffeecorner_cool,Kitchen Coffee Corner Cool Light,Bếp cà phê góc mát ánh sáng mát mẻ
light.upstairs_playroom_zwave,Upstairs Playroom Light,Ánh sáng phòng chơi trên lầu
light.downstairs_playroom_mqtt,Downstairs Playroom Light,Đèn phòng chơi ở tầng dưới
light.front_playroom_homekit,Front Playroom Light,Đèn phòng chơi phía trước
light.back_playroom_lifx,Back Playroom Light,Đèn phòng chơi trở lại
light.kitchen_microwave_warm,Kitchen Microwave Warm Light,Lò vi sóng nhà bếp ánh sáng ấm áp
light.upstairs_observatory_zigbee,Upstairs Observatory Light,Ánh sáng quan sát trên lầu
light.downstairs_observatory_homekit,Downstairs Observatory Light,Đài quan sát ở tầng dưới
light.front_observatory_ge,Front Observatory Light,Đài quan sát phía trước ánh sáng
light.back_observatory_warm,Back Observatory Warm Light,Đài quan sát trở lại ánh sáng ấm áp
light.kitchen_toaster_cool,Kitchen Toaster Cool Light,Lò nướng bánh bếp mát mẻ
light.upstairs_workout_zwave,Upstairs Workout Light,Ánh sáng tập luyện trên lầu
light.downstairs_workout_mqtt,Downstairs Workout Light,Đèn tập luyện ở tầng dưới
light.front_workout_homekit,Front Workout Light,Ánh sáng tập luyện phía trước
light.back_workout_lifx,Back Workout Light,Đèn tập luyện trở lại
light.kitchen_display_warm,Kitchen Display Warm Light,Hiển thị nhà bếp ánh sáng ấm áp
light.upstairs_utility_zigbee,Upstairs Utility Light,Tầng trên đèn tiện ích
light.downstairs_utility_homekit,Downstairs Utility Light,Tầng dưới ánh sáng tiện ích
light.front_utility_ge,Front Utility Light,Light tiện ích phía trước
light.back_utility_warm,Back Utility Warm Light,Tiện ích trở lại ánh sáng ấm áp
light.kitchen_trashbin_cool,Kitchen Trash Bin Cool Light,Thùng rác thùng rác mát
light.upstairs_sitting_zwave,Upstairs Sitting Room Light,Ánh sáng phòng khách trên lầu
light.downstairs_sitting_mqtt,Downstairs Sitting Room Light,Đèn phòng khách ở tầng dưới
light.front_sitting_homekit,Front Sitting Room Light,Phòng khách phía trước đèn
light.back_sitting_lifx,Back Sitting Room Light,Đèn phòng trở lại
light.kitchen_freezer_warm,Kitchen Freezer Light,Đèn tủ đông nhà bếp
light.upstairs_zen_zigbee,Upstairs Zen Light,Trên lầu ánh sáng Zen
light.downstairs_zen_homekit,Downstairs Zen Light,Tầng dưới ánh sáng Zen
light.front_zen_ge,Front Light,Đèn phía trước
light.back_zen_warm,Back Zen Light,Đèn Zen trở lại
light.dining_room_chandelier,Dining Room Chandelier,Đèn chùm phòng ăn
light.chandelier_front_hallway,Front Hallway Chandelier,Đèn chùm hành lang phía trước
lock.back_door,Back Door Lock,Khóa cửa sau
lock.back_door,Backyard entry lock,Khóa nhập cảnh sân sau
lock.basement,Basement Lock,Khóa tầng hầm
lock.bike_rack,Bike rack lock,Khóa giá để xe đạp
lock.bike_storage,Bike Storage Lock,Khóa lưu trữ xe đạp
lock.file_cabinet,File cabinet lock,Tập tin khóa tủ
lock.front_door_1,Main entry lock,Khóa nhập chính
lock.front_door,Front Door Lock,Khóa cửa trước
lock.garage,Garage Door Lock,Khóa cửa nhà để xe
lock.guest_room,Guest Room Lock,Phòng khách
lock.gun_safe,Gun safe lock,Khóa an toàn
lock.mailbox,Secure mailbox lock,Khóa hộp thư an toàn
lock.master_bedroom,Master Bedroom Lock,Khóa phòng ngủ chính
lock.nursery,Nursery Door Lock,Khóa cửa nhà trẻ
lock.office,Office Lock,Khóa văn phòng
lock.patio_door,Patio sliding door,Cửa trượt
lock.pool_gate,Pool Gate Lock,Khóa cổng hồ bơi
lock.pool_gate,Swimming pool gate,Cổng bể bơi
lock.safety_deposit,Safety deposit box,Hộp ký gửi an toàn
lock.schlage_smart,Schlage Smart Lock,Schlage khóa thông minh
lock.shed_2,Second shed lock,Khóa thứ hai
lock.tool_shed,Tool Shed Lock,Công cụ đổ khóa
lock.tool_shed,Tool shed lock,Công cụ đổ khóa
lock.utility_room,Utility room lock,Khóa phòng tiện ích
lock.wine_cellar,Wine Cellar Lock,Khóa hầm rượu
lock.wine_cellar,Wine cellar lock,Khóa hầm rượu
lock.yale_kitchen,Yale Kitchen,Nhà bếp Yale
lock.yale_living,Yale Living Room,Phòng khách Yale
lock.yoga_room,Yoga Room Lock,Khóa phòng yoga
lock.attic,Attic Door Lock,Khóa cửa gác mái
lock.balcony_door,Balcony access lock,Khóa truy cập ban công
lock.bedroom_2,Second Bedroom Lock,Khóa phòng ngủ thứ hai
lock.bedroom_3,Third Bedroom Lock,Khóa phòng ngủ thứ ba
lock.boathouse,Boathouse Lock,Khóa Boathouse
lock.closet,Closet Door Lock,Khóa cửa tủ quần áo
lock.conservatory,Conservatory Lock,Khóa nhạc viện
lock.den,Den Lock,Khóa den
lock.dining_room,Dining Room Lock,Phòng ăn khóa
lock.driveway_gate,Driveway gate lock,Khóa cổng lái xe
lock.electric_gate,Electric gate lock,Khóa cổng điện
lock.elevator,Private Elevator Lock,Khóa thang máy riêng
lock.fence_gate,Fence gate lock,Khóa cổng hàng rào
